X(E/m),Y(N/m),direction
332259.49,4128607.65,1
332257.78,4128608.30,1
332256.07,4128608.95,1
332254.36,4128609.60,1
332252.65,4128610.25,1
332250.94,4128610.89,1
332249.23,4128611.54,1
332247.52,4128612.19,1
332245.81,4128612.84,1
332244.10,4128613.49,1
332242.39,4128614.14,1
332240.68,4128614.78,1
332238.97,4128615.43,1
332237.26,4128616.08,1
332235.55,4128616.73,1
332233.84,4128617.38,1
332232.13,4128618.03,1
332230.42,4128618.68,1
332228.71,4128619.32,1
332227.00,4128619.97,1
332225.29,4128620.62,1
332223.58,4128621.27,1
332221.87,4128621.92,1
332220.16,4128622.57,1
332218.45,4128623.22,1
332216.74,4128623.86,1
332215.03,4128624.51,1
332213.32,4128625.16,1
332211.61,4128625.81,1
332209.90,4128626.46,1
332208.19,4128627.10,1
332206.42,4128627.75,1
332205.09,4128627.59,1
332203.76,4128627.44,1
332202.42,4128627.28,1
332201.09,4128627.13,1
332199.76,4128626.97,1
332198.675777,4128626.415447,1
332197.591554,4128625.860894,1
332196.507331,4128625.306341,1
332195.423108,4128624.751789,1

332194.3388863057,4128624.197236966,1
332193.2007758092,4128623.165532434,1
332192.47179308126,4128622.1922350936,1
332191.4262880306,4128620.470479988,1
332190.49314062344,4128618.602175812,1
332189.5865881663,4128616.7333391616,1
332188.80414694827,4128614.862017277,1
332188.20676194044,4128612.931489992,1
332187.94316298526,4128611.2828771663,1
332187.9245216295,4128610.7948530014,1
332188.09109199245,4128608.926727149,1
332188.5211721264,4128606.931225187,1
332189.1203787349,4128605.409634041,1
332189.6458206606,4128604.633216183,1
332190.1072293718,4128604.20217881,1
332190.47489884746,4128603.9617175697,1
332192.19999949145,4128602.8615788105,1
332193.99713250843,4128601.815497747,1
332195.8164397403,4128600.990971909,1
332197.6982475776,4128600.1873948704,1
332198.3963711809,4128600.062416428,1
332199.10602598987,4128600.070406443,1
332199.67606041324,4128600.192191621,1
332200.7930885199,4128600.6138224993,1
332201.5111856733,4128601.043441429,1
332202.06240047,4128601.5541015295,1
332202.6818917778,4128602.3741928977,1
332203.3370871658,4128603.6486669774,1
332204.2259074249,4128605.5178600335,1
332205.13156890275,4128607.3423161954,1
332205.9674198611,4128609.223669945,1
332206.8103369244,4128610.572085121,1
332207.3795031959,4128611.0934860297,1
332207.9542021066,4128611.4482770856,1
332208.7585053955,4128611.754071153,1
332209.60491262673,4128611.948022868,1
332210.2966139781,4128611.945273304,1
332211.57805725565,4128611.719816988,1
332212.8552796617,4128611.2835465134,1
332214.7078253617,4128610.3473598417,1
332216.5264660249,4128609.489552016,1
332218.4248931327,4128608.630147176,1
332220.1457960296,4128607.763197077,1
332221.94204253773,4128606.672740113,1
332222.87439443707,4128605.843778041,1
332223.5835634229,4128604.941584784,1
332224.09458985867,4128603.887959379,1
332224.39329766086,4128602.860784637,1
332224.46462215367,4128601.9935614048,1
332224.43645140145,4128601.4724282473,1
332224.2788375255,4128600.687488072,1
332223.8133671753,4128599.586813135,1
332223.04113042395,4128597.781883777,1
332222.2675605217,4128595.910381531,1
332221.47648216865,4128594.0503298175,1
332220.1689628662,4128591.201623269,1
332219.2358192676,4128589.333316083,1
332218.3988589861,4128587.396483639,1
332217.6705015519,4128585.56847629,1
332216.87786632706,4128583.6307565263,1
332216.1404209918,4128581.791831299,1
332215.36484897137,4128579.820470202,1
332214.61876002105,4128577.992818082,1
332213.80019447603,4128576.088917541,1
332212.9920488022,4128574.2625080193,1
332212.13779978873,4128572.3482221183,1
332211.3786444722,4128570.753930581,1
332210.57160860253,4128568.98299873,1
332209.7528192369,4128567.0680030566,1
332209.02401413594,4128565.217805406,1
332208.22339875565,4128563.324645849,1
332207.3709249642,4128561.499124323,1
332206.43888642336,4128559.68629589,1
332205.55430484755,4128558.471914093,1
332204.7506416764,4128557.755409476,1
332203.84326220315,4128557.174180895,1
332202.68987929047,4128556.7088775006,1
332201.6482103298,4128556.507735977,1
332200.6016751317,4128556.506490939,1
332199.0990384321,4128556.758577368,1
332197.8754435133,4128557.215975555,1
332196.9734389299,4128557.789033884,1
332196.25938052265,4128558.4471284687,1
332195.6200205683,4128559.2924263705,1
332195.253259377,4128560.021266457,1
332194.9556640382,4128561.103919703,1
332194.84445955337,4128562.193940641,1
332194.9373761903,4128563.290974232,1
332195.24372338515,4128564.417033951,1
332196.10506480007,4128566.2423768193,1
332196.9579850472,4128568.090088265,1
332197.4846712956,4128570.0331316767,1
332197.5975396134,4128571.240765192,1
332197.49297846097,4128572.21965367,1
332197.20424854965,4128573.3021293487,1
332196.3630342202,4128575.139363877,1
332195.760024976,4128576.028333747,1
332195.06503168255,4128576.752646432,1
332194.1213698168,4128577.459738646,1
332192.8652059309,4128578.062089157,1
332191.78921159497,4128578.361133677,1
332189.90337778296,4128578.5209957887,1
332187.81517853047,4128578.3186125793,1
332185.7857024174,4128577.948554825,1
332183.7941308123,4128577.699837864,1
332182.82051909785,4128577.797034353,1
332181.6031269244,4128578.121111628,1
332180.3735593988,4128578.722931457,1
332178.8182260595,4128579.8862723312,1
332177.57517324726,4128581.1432592543,1
332177.0676832616,4128581.930418252,1
332176.56132723467,4128583.2170519927,1
332176.1740186027,4128585.133998429,1
332176.1541349721,4128586.355390306,1
332176.365411727,4128587.605452744,1
332176.8641504317,4128589.0384574425,1
332177.590271877,4128590.311509377,1
332178.21552078135,4128590.9760846016,1
332179.0621759043,4128591.625126058,1
332180.05709411175,4128592.149099137,1
332180.94916297856,4128592.408733341,1
332182.1138291662,4128592.5519092926,1
332183.6202362877,4128592.488442942,1
332185.6250685044,4128592.0708976095,1
332187.5820202187,4128591.4767125,1
332189.4664957769,4128590.806279581,1
332191.3680353544,4128590.102205579,1
332193.2347811968,4128589.432128569,1
332195.2076868602,4128588.748826309,1
332197.02877451613,4128588.013064788,1
332198.92920443043,4128587.253515089,1
332200.8830477105,4128586.503996269,1
332202.7723914753,4128585.63367005,1
332204.66373508365,4128584.8632037058,1
332207.4814763161,4128583.852190164,1
332209.3007887426,4128583.027667452,1
332211.17195947963,4128582.135507207,1
332212.99149475945,4128581.322080816,1
332214.89081673755,4128580.507057383,1
332216.75490060553,4128579.703839857,1
332218.63471581787,4128578.800408349,1
332220.4449430456,4128577.964970137,1
332222.86973367457,4128576.817530026,1
332223.9430431359,4128575.941346489,1
332224.2887638928,4128575.490427448,1
332225.0927666818,4128574.009139079,1
332225.3675460835,4128573.115642806,1
332225.4581564188,4128572.325733106,1
332225.42754228984,4128571.68254956,1
332225.25130929425,4128570.853582385,1
332224.62777922576,4128568.945776243,1
332223.8114366394,4128567.152829713,1
332222.98400718963,4128565.2491058256,1

332222.690,4128564.689,1
332222.351,4128564.026,1
332221.960,4128563.243,1
332221.597,4128562.513,1
332221.029,4128561.385,1
332220.552,4128560.450,1
332220.109,4128559.562,1
332219.413,4128558.195,1
332218.878,4128557.126,1
332218.479,4128556.338,1
332218.059,4128555.493,1
332217.785,4128554.915,1

332217.892,4128554.783,-1
332218.019,4128555.02,-1
332218.146,4128555.255,-1
332218.401,4128555.735,-1
332218.645,4128556.153,-1
332218.975,4128556.610,-1
332219.160,4128556.853,-1
332219.355,4128557.067,-1
332219.559,4128557.271,-1
332219.744,4128557.476,-1
332220.010,4128557.733,-1
332220.360,4128558.028,-1
332220.857,4128558.443,-1
332221.32,4128558.75,-1
332221.78,4128558.95,-1
332222.218,4128558.992,-1
332222.636,4128558.988,-1
332223.074,4128558.927,-1
332223.4390,4128558.7899,-1
332223.698,4128558.670,-1
332224.136,4128558.455,-1
332224.473,4128558.317,-1
332224.931,4128558.127,-1
332225.364,4128557.942,-1
332225.988,4128557.662,-1
332226.513,4128557.335,-1
332227.321,4128556.881,-1

332227.231,4128557.073,1
332226.27,4128557.56,1
332225.69,4128557.87,1
332224.83,4128558.25,1
332224.05,4128558.61,1
332223.637,4128558.842,1
332223.356,4128559.136,1
332223.173,4128559.391,1
332222.944,4128559.873,1
332222.769,4128560.521,1
332222.74,4128561.10,1
332222.77,4128561.71,1
332222.86,4128562.42,1
332223.02,4128563.10,1
332223.327,4128564.214,1

332223.79429154715,4128565.410482575,1
332224.19891887263,4128566.3514265474,1
332224.60354619817,4128567.29237052,1
332224.9902208954,4128568.222574002,1
332225.37689559266,4128569.1527774846,1
332225.7943760597,4128570.0712643196,
332226.2118565268,4128570.9897511546,1
332226.5609499305,4128571.5932588875,1
332226.91004333424,4128572.196766621,1
332227.66073438607,4128572.925433639,1
332228.4426654527,4128573.442576461,1
332229.06811336684,4128573.6742537166,1
332229.7177132951,4128573.783348175,1
332230.3737349496,4128573.770214799,1
332231.1157426509,4128573.6221608063,1
332232.9403904092,4128573.063935188,1
332234.8494696529,4128572.2931209095,1
332236.6829634382,4128571.2907215273,1
332237.57343839447,4128570.5846990766,1
332238.2580157336,4128569.782899096,1
332238.63497793145,4128569.120456473,1
332238.88627309434,4128568.382829989,1
332239.13132956834,4128566.8905326407,1
332239.21037179616,4128565.0796604855,1
332238.9866851466,4128563.652246418,1
332238.3031007065,4128561.845541068,1
332237.55701555935,4128560.017887071,1
332236.7832239993,4128558.13528809,1
332235.98305871256,4128556.264317079,1
332235.18355945544,4128554.426632609,1
332234.392258694,4128552.555484264,1
332233.6107112753,4128550.728540476,1
332232.7037182279,4128548.837508448,1
332231.7796608027,4128546.980117932,1
332230.8119434304,4128545.156901364,1
332230.21284707414,4128544.469598876,1
332229.3466843077,4128543.732143299,1
332228.3686058484,4128543.1634273953,1
332227.1538326691,4128542.73264945,1
332225.63277605706,4128542.507802367,1
332224.3654980466,4128542.55537331,1
332222.5290910065,4128542.96953666,1
332220.61778447725,4128543.629398608,1
332218.76100221137,4128544.354769017,1
332216.78897280054,4128545.082447232,1
332214.9794049964,4128545.951172435,1
332213.2072976397,4128546.919047486,1
332211.4631191446,4128547.952963388,1
332209.75306888565,4128548.919596724,1
332209.13452635973,4128549.4758782336,1
332208.7116844172,4128550.061541272,1
332208.3710728921,4128550.767657239,1
332208.16410562646,4128551.5043971897,1
332208.03761257103,4128552.716823284,1
332208.13541492564,4128554.057957767,1
332208.5727809455,4128555.969490307,1
332209.3275158606,4128557.785868953,1
332210.1270206481,4128559.623551149,1
332210.9706288158,4128561.449250433,1
332211.80648223084,4128563.330604752,1
332212.6057638762,4128565.157191671,1
332213.4504817737,4128567.0383686414,1
332214.28522341244,4128568.864245725,1
332215.12971846503,4128570.734327357,1
332215.98285618186,4128572.593136081,1
332216.6230076258,4128574.4451092063,1
332216.90544255544,4128576.148845161,1
332216.9095239902,4128578.124552676,1
332216.5064749416,4128580.141711321,1
332215.9509206316,4128581.629126277,1
332215.08397560683,4128583.067276112,1
332213.8442504271,4128584.4906898728,1
332212.6656721225,4128585.424482208,1
332211.55135061534,4128586.023989975,1
332209.7666106215,4128586.803420246,1
332207.8659575941,4128587.55187196,1
332205.929844316,4128588.301034133,1
332204.0201046284,4128589.038568757,1
332202.1903736993,4128589.785601746,1
332200.3083409101,4128590.578082176,1
332198.42586411536,4128591.348372059,1
332196.55536322924,4128592.2738217534,1
332194.6906174014,4128593.043757473,1
332192.7549507964,4128593.815113764,1
332190.87358626124,4128594.640882857,1
332189.0079526894,4128595.366437908,1
332187.13212116424,4128596.0255979537,1
332185.2578452424,4128596.7624268783,1
332183.2605687165,4128597.557219096,1
332181.38629343954,4128598.294048913,1
332179.49982037913,4128598.864624299,1
332177.67007068155,4128599.167665547,1
332176.188260332,4128599.130740965,1
332174.94092006347,4128598.844922289,1
332173.7866520653,4128598.3352410137,1
332172.76269445656,4128597.689750881,1
332171.6702367205,4128596.723734358,1
332170.6223034009,4128595.323928492,1
332169.59585432406,4128593.668393781,1
332168.6653659236,4128591.933237753,1
332167.6963056162,4128590.043455097,1
332166.8260947721,4128588.2182925,1
332166.07910676306,4128586.3462623656,1
332165.3416502468,4128584.5073412247,1
332164.5689550466,4128582.6802258254,1
332163.75082268944,4128580.798520768,1
332162.96815061,4128578.916105586,1
332162.4435037877,4128577.960918024,1
332161.661720069,4128576.122884926,1
332160.9399921672,4128574.183749598,1
332160.5471874907,4128572.7264241497,1
332160.3662577199,4128571.2204555017,1
332160.38351993647,4128570.753912149,1
332160.52775966143,4128569.985127217,1
332160.86281086365,4128569.0016218033,1
332161.51876229217,4128567.656491269,1
332162.6913145445,4128565.979116096,1
332163.36990911525,4128565.3217287255,1
332164.89244921034,4128564.2922411286,1
332166.67741271947,4128563.523896842,1
332168.6110845676,4128562.6526752906,1
332170.5115181777,4128561.893119286,1
332172.2789745192,4128561.136226805,1
332174.1689881863,4128560.299180748,1
332175.9878586142,4128559.452459915,1
332177.91377809166,4128558.636895575,1
332179.79514984664,4128557.8111238526,1
332181.64195001614,4128557.030444648,1
332183.53485391475,4128556.3376421686,1
332185.4607747664,4128555.522079616,1
332187.35079089034,4128554.685036624,1
332189.2326087383,4128553.88145807,1
332191.06145802443,4128553.090040556,1
332192.94327655144,4128552.286462861,1
332194.7716821545,4128551.472855197,1
332196.67898605845,4128550.6132683656,1
332198.534210074,4128549.8102245033,1
332200.4791971089,4128549.06088344,1
332202.4057876106,4128548.278611376,1
332204.243060107,4128547.46482834,1
332206.08853165293,4128546.61758174,1
332207.97855165263,4128545.78054355,1
332209.7460144449,4128545.02365922,1
332211.62716994603,4128544.1867993777,1
332213.51719099574,4128543.349762478,1
332215.39856936265,4128542.523999002,1
332217.3065436558,4128541.6977034905,1
332219.18061252206,4128540.9497868186,1
332221.0101335982,4128540.191662519,1
332222.91921960225,4128539.420845781,1
332224.733010125,4128538.762936707,1
332226.7697635814,4128538.167163973,1
332227.886111802,4128538.111515068,1
332228.5359365995,4128538.231705015,1
332229.5984471309,4128538.587831852,1
332230.98034649657,4128539.392662292,1
332232.1262172302,4128540.368717128,1
332233.16350387566,4128541.679943997,1
332233.95589670574,4128543.162572584,1
332234.7272467184,4128544.9231209313,1
332235.5537866233,4128546.7824639343,1
332236.30031741445,4128548.632308753,1
332237.1359439557,4128550.502569918,1
332237.9256894356,4128552.296050065,1
332238.74425129395,4128554.199952788,1
332239.5091775274,4128556.082729403,1
332240.38846224523,4128557.918817052,1
332241.29523057427,4128559.798754352,1
332242.1476969439,4128561.624279075,1
332243.04404458485,4128563.426725573,1
332243.86216013844,4128565.308437767,1

332244.39,4128566.48,1
332245.03,4128567.93,1
332245.52,4128569.01,1
332246.01,4128570.07,1
332246.40,4128570.84,1
332246.66,4128571.54,1
332246.96,4128572.44,1
332247.07,4128573.70,1
332246.89,4128574.70,1
332246.71,4128575.53,1
332246.45,4128576.17,1
332246.259,4128576.801,1
332246.016,4128577.278,1
332245.707,4128577.970,1
332245.349,4128578.482,1
332245.144,4128578.771,1

332245.227,4128578.732,-1
332245.498,4128578.629,-1
332245.862,4128578.487,-1
332246.297,4128578.322,-1
332246.945,4128578.069,-1
332247.474,4128577.861,-1
332247.869,4128577.701,-1
332248.336,4128577.519,-1
332248.629,4128577.402,-1

332248.22,4128577.06,1
332247.88,4128576.83,1
332247.37,4128576.43,1
332246.76,4128575.98,1
332245.78,4128575.45,1
332245.08,4128575.155,1
332244.38,4128574.86,1
332243.575,4128574.625,1
332242.77,4128574.39,1
332242.09,4128574.38,1
332241.41,4128574.37,1
332240.00,4128574.58,1
332239.04,4128575.05,1
332238.006,4128575.475,1
332236.96,4128575.91,1
332235.883,4128576.394,1
332234.72,4128576.87,1
332232.86,4128577.67,1
332230.99,4128578.48,1
332229.44,4128579.18,1
332227.96,4128579.84,1

332226.38427278097,4128580.487846952,1
332225.471,4128581.021,1
332224.7096884788,4128581.453767525,1
332224.11796516523,4128582.020611046,1
332223.5215974064,4128582.798446439,1
332222.90640918165,4128583.965156554,1
332222.65933661384,4128584.9135979423,1
332222.5756130898,4128586.0474679465,1
332222.69003271154,4128587.332770139,1
332223.1331494012,4128589.088788986,1
332223.97475294373,4128590.814630034,1
332224.1159491388,4128591.222500959,1
332224.7321271786,4128592.320158677,1
332225.1851580894,4128592.799486114,1
332225.78822987253,4128593.242509884,1
332226.3879695639,4128593.519101314,1
332226.95867033064,4128593.674174824,1
332227.5623881486,4128593.7064880338,1
332228.4030211917,4128593.611958898,1
332230.3371558146,4128593.206939662,1
332232.2945541078,4128592.6349560698,1
332234.1772554232,4128591.875769381,1
332236.14107604383,4128591.181558827,1
332238.061459747,4128590.5326180616,1
332239.9545819591,4128589.850923677,1
332241.8731893082,4128589.113219876,1
332243.8454320467,4128588.396642722,1
332245.7301342283,4128587.7373181246,1
332247.66824964865,4128587.088024692,1
332249.57821518765,4128586.361595652,1
332251.5070218367,4128585.690289605,1
332253.41787638643,4128585.008243429,1
332255.28,4128584.41,1
332257.05,4128583.77,1